鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,電梯,停車位所在樓層,編號
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路222號九樓之6,23.48,其他,,,1110606,土地1建物1車位1,九層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,116.45,2,2,1,有,有,10490000,98062,坡道平面,25.79,1600000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路220號十三樓之1,30.89,其他,,,1110103,土地1建物1車位1,十三層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,141.41,3,2,2,有,有,9810000,73603,坡道平面,25.79,1300000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路220號十五樓之2,37.07,其他,,,1101108,土地1建物1車位1,十五層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,165.98,4,2,2,有,有,11090000,69835,坡道平面,25.79,1300000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路220號四樓之6,22.24,其他,,,1100619,土地1建物1車位1,四層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,109.19,2,2,1,有,有,5820000,58991,坡道平面,25.79,900000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路218號五樓之1,29.65,其他,,,1101129,土地1建物1車位1,五層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,136.37,3,2,2,有,有,10200000,81387,坡道平面,25.79,1200000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路218號七樓之2,32.13,其他,,,1110103,土地1建物1車位1,七層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,146.66,3,2,2,有,有,10240000,73963,坡道平面,25.79,1300000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路218號十四樓之6,24.71,其他,,,1100711,土地1建物1車位1,十四層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,118.51,2,2,2,有,有,6930000,63956,坡道平面,25.79,1000000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路218號十二樓之8,22.24,其他,,,1100704,土地1建物1車位1,十二層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,109.37,2,2,1,有,有,6240000,63888,坡道平面,25.79,900000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路216號九樓之2,33.36,其他,,,1110307,土地1建物1車位2,九層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,178.12,3,2,2,有,有,14000000,86927,坡道平面,25.79,3000000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,車位總價無法拆分個別車位價格。,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路216號三樓之3,27.18,其他,,,1101018,土地1建物1車位1,三層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,128.28,2,2,2,有,有,8630000,72496,坡道平面,25.79,1200000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路216號九樓之6,40.78,其他,,,1110321,土地1建物1車位2,九層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,208.58,4,2,2,有,有,16290000,85924,坡道平面,25.79,2800000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,車位總價無法拆分個別車位價格。,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路226號九樓之2,33.36,其他,,,1110808,土地1建物1車位1,九層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,152.38,3,2,2,有,有,14140000,99849,坡道平面,25.79,1500000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路226號十樓之7,32.13,其他,,,1110503,土地1建物1車位1,十層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,146.66,3,2,2,有,有,12720000,92826,坡道平面,25.79,1500000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,,有,B2,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路222號七樓之2,38.3,其他,,,1110613,土地1建物1車位2,七層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,194.59,4,2,2,有,有,17110000,97264,坡道平面,25.79,3200000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,車位總價無法拆分個別車位價格。,有,B1,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區歸仁七路222號八樓之2,38.3,其他,,,1110530,土地1建物1車位2,八層,015,住宅大樓,見其他登記事項,鋼筋混凝土造,1121208,194.59,4,2,2,有,有,17110000,97264,坡道平面,25.79,3200000,預售屋、或土地及建物分次登記案件　其主建號建物對應之基地權利範圍,車位總價無法拆分個別車位價格。,有,B1,
